選舉,捐贈對象,捐贈人,捐贈日期,捐贈金額
105年立法委員選舉,張廖萬堅,環隆科技股份有限公司,104/10/07,250000
105年立法委員選舉,黃國書,環隆科技股份有限公司,104/10/14,250000
105年立法委員選舉,洪慈庸,環隆科技股份有限公司,105/01/06,100000
097年立法委員選舉,何敏豪,環隆科技股份有限公司,096/11/09,200000
097年立法委員選舉,簡肇棟,環隆科技股份有限公司,096/10/30,200000
097年立法委員選舉,蔡其昌,環隆科技(股)公司,096/11/02,200000
097年立法委員選舉,蔡明憲,環隆科技股份有限公司,096/12/26,300000
097年立法委員選舉,謝明源,環隆科技股分有限公司,096/10/30,200000
097年立法委員選舉,郭俊銘,環隆科技股份有限公司,096/11/02,200000
101年立法委員選舉,林佳龍,環隆科技股份有限公司,100/09/20,100000
101年立法委員選舉,蔡其昌,環隆科技股份有限公司,100/11/08,200000
101年立法委員選舉,謝明源,環隆科技股份有限公司,100/11/03,100000
101年立法委員選舉,郭俊銘,環隆科技股份有限公司,100/11/08,200000
109年總統、副總統選舉,蔡英文,環隆科技股份有限公司,1081226,500000.00
113年總統、副總統選舉,賴清德,環隆科技股份有限公司,1121204,1000000.00
107年直轄市議員選舉,邱于珊,環隆科技股份有限公司,1070904,50000.00
109年立法委員選舉,張廖萬堅,環隆科技股份有限公司,1081113,200000.00
109年立法委員選舉,沈智慧,環隆科技股份有限公司,1081108,100000.00
109年立法委員選舉,莊競程,環隆科技股份有限公司,1081114,100000.00
109年立法委員選舉,黃國書,環隆科技股份有限公司,1081107,200000.00
109年立法委員選舉,徐定禎,環隆科技股份有限公司,1081210,200000.00
109年立法委員選舉,羅貴星,環隆科技股份有限公司,1081210,100000.00
111年臺中市議員選舉,何文海,環隆科技股份有限公司,1111111,100000.00
111年臺中市議員選舉,何昆霖,環隆科技股份有限公司,1111123,100000.00
111年臺中市議員選舉,劉士州,環隆科技股份有限公司,1111114,50000.00
111年臺中市議員選舉,周永鴻,環隆科技股份有限公司,1111122,100000.00
111年臺中市議員選舉,張玉嬿,環隆科技股份有限公司,1111118,100000.00
111年臺中市議員選舉,張耀中,環隆科技股份有限公司,1111125,100000.00
111年臺中市議員選舉,曾朝榮,環隆科技股份有限公司,1111122,200000.00
111年臺中市議員選舉,朱暖英,環隆科技股份有限公司,1111108,100000.00
111年臺中市議員選舉,李中,環隆科技股份有限公司,1111118,100000.00
111年臺中市議員選舉,林德宇,環隆科技股份有限公司,1111110,50000.00
111年臺中市議員選舉,林祈烽,環隆科技股份有限公司,1111114,100000.00
111年臺中市議員選舉,楊典忠,環隆科技股份有限公司,1111114,50000.00
111年臺中市議員選舉,楊大鋐,環隆科技股份有限公司,1111111,50000.00
111年臺中市議員選舉,江肇國,環隆科技股份有限公司,1111111,50000.00
111年臺中市議員選舉,蔡成圭,環隆科技股份有限公司,1111114,50000.00
111年臺中市議員選舉,謝家宜,環隆科技股份有限公司,1111122,100000.00
111年臺中市議員選舉,陳淑華,環隆科技股份有限公司,1111110,100000.00
111年臺中市議員選舉,黃守達,環隆科技股份有限公司,1111110,50000.00
111年臺中市議員選舉,黃馨慧,環隆科技股份有限公司,1111111,100000.00
111年苗栗縣縣長選舉,徐定禎,環隆科技股份有限公司,1111109,200000.00
113年立法委員選舉,何欣純,環隆科技股份有限公司,1121201,200000.00
113年立法委員選舉,張廖萬堅,環隆科技股份有限公司,1121128,200000.00
113年立法委員選舉,江肇國,環隆科技股份有限公司,1121218,200000.00
113年立法委員選舉,莊競程,環隆科技股份有限公司,1121129,200000.00
113年立法委員選舉,蔡其昌,環隆科技股份有限公司,1121213,200000.00
