選舉,捐贈對象,捐贈人,捐贈日期,捐贈金額
101年立法委員選舉,李慶華,豪景大酒店(股)公司,100/12/30,100000
097年立法委員選舉,李慶華,亞洲工程企業股份有限公司,096/12/20,1000000
097年立法委員選舉,李慶華,台灣東洋藥品工業股份有限公司,096/09/10,1000000
105年立法委員選舉,李慶華,儷榮科技股份有限公司,105/01/14,200000
101年立法委員選舉,李慶華,永達保險經紀人股份有限公司,100/12/23,500000
097年立法委員選舉,李慶華,欣達有限公司,097/01/05,300000
105年立法委員選舉,李慶華,行企股份有限公司,104/12/21,1000000
097年立法委員選舉,李慶華,挺衛國際股份有限公司,097/01/05,48000
101年立法委員選舉,李慶華,尚鏵股份有限公司,100/09/01,300000
101年立法委員選舉,李慶華,尚鏵股份有限公司,100/09/01,300000
101年立法委員選舉,李慶華,尚鏵股份有限公司,100/09/01,300000
097年立法委員選舉,李慶華,通達投資股份有限公司,096/11/23,1000000
101年立法委員選舉,李慶華,庫裕營造有限公司,100/12/14,100000
097年立法委員選舉,李慶華,聯柏企業股份有限公司,096/12/20,24000
097年立法委員選舉,李慶華,聯柏企業股份有限公司,096/11/27,300000
101年立法委員選舉,李慶華,生生投資股份有限公司,100/12/19,100000
105年立法委員選舉,李慶華,遠銀國際租賃股份有限公司,104/12/29,1000000
101年立法委員選舉,李慶華,中工管理顧問有限公司,100/12/15,300000
101年立法委員選舉,李慶華,上展金屬工業股份有限公司,100/12/20,100000
097年立法委員選舉,李慶華,中加投資發展股份有限公司,096/12/21,100000
097年立法委員選舉,李慶華,中加顧問股份有限公司,096/12/21,100000
101年立法委員選舉,李慶華,德勤投資股份有限公司,100/11/04,1000000
097年立法委員選舉,李慶華,富達運輸股份有限公司,096/12/20,1000000
105年立法委員選舉,李慶華,歐室食品股份有限公司,105/01/14,200000
101年立法委員選舉,李慶華,弘堃工程股份有限公司,100/12/20,100000
101年立法委員選舉,李慶華,三明瓦斯配管工程有限公司,100/12/20,100000
105年立法委員選舉,李慶華,皇鼎建設開發股份有限公司,104/12/04,200000
105年立法委員選舉,李慶華,佳軒科技股份有限公司,105/01/14,200000
101年立法委員選舉,李慶華,德茂昌投資股份有限公司,100/07/05,1000000
105年立法委員選舉,李慶華,群豪工程有限公司,104/12/22,50000
101年立法委員選舉,李慶華,群豪工程有限公司,100/12/22,30000
101年立法委員選舉,李慶華,大未來開發股份有限公司,100/11/22,200000
101年立法委員選舉,李慶華,撈救王國際有限公司,100/12/12,100000
097年立法委員選舉,李慶華,華新麗華股份有限公司,096/12/24,500000
105年立法委員選舉,李慶華,猴硐坑休閒事業有限公司,104/12/18,50000
097年立法委員選舉,李慶華,加特福生物科技股份有限公司,096/11/06,200000
097年立法委員選舉,李慶華,榮盛通運股份有限公司,096/04/11,500000
105年立法委員選舉,李慶華,裕通投資股份有限公司,104/12/11,1000000
097年立法委員選舉,李慶華,台灣塑膠工業股份有限公司,096/09/03,1000000
097年立法委員選舉,李慶華,裕隆日產汽車股份有限公司,096/12/31,1000000
101年立法委員選舉,李慶華,天欣投資股份有限公司,101/01/01,250000
101年立法委員選舉,李慶華,大智國際人力仲介有限公司,101/01/10,100000
105年立法委員選舉,李慶華,智原科技股份有限公司,104/12/15,1000000
097年立法委員選舉,李慶華,遠雄國際商務中心有限公司,096/12/20,500000
097年立法委員選舉,李慶華,華聯通訊網路股份有限公司,097/01/08,500000
101年立法委員選舉,李慶華,一綱企業有限公司,100/12/12,100000
101年立法委員選舉,李慶華,裕朋實業股份有限公司,100/12/08,1000000
097年立法委員選舉,李慶華,展雲事業股份有限公司,097/01/07,200000
101年立法委員選舉,李慶華,遠東建築經理股份有限公司,100/11/04,1000000
097年立法委員選舉,李慶華,吉美建設事業股份有限公司,097/01/06,300000
105年立法委員選舉,李慶華,和平工業區專用港實業股份有限公司,105/01/13,800000
101年立法委員選舉,李慶華,計然股份有限公司,100/09/01,300000
101年立法委員選舉,李慶華,計然股份有限公司,100/09/01,300000
