選舉,捐贈對象,捐贈人,捐贈日期,捐贈金額
097年立法委員選舉,林進興,天信文具行,096/11/07,20000
097年立法委員選舉,林進興,千峰通信企業有限公司,096/11/15,10000
097年立法委員選舉,林進興,東龍家具行,096/11/21,10000
097年立法委員選舉,林進興,合僎桶業股份有限公司,096/11/07,20000
097年立法委員選舉,林進興,恆亞貿易有限公司,096/11/21,10000
097年立法委員選舉,林進興,高田股份有限公司,096/11/15,20000
097年立法委員選舉,林進興,全球系統整合股份有限公司,096/11/23,100000
097年立法委員選舉,林進興,專由企業行,096/11/21,10000
097年立法委員選舉,林進興,佳壕企業社,096/11/21,20000
097年立法委員選舉,林進興,嘉荷企業有限公司,096/11/21,10000
097年立法委員選舉,林進興,亞資科技股份有限公司,096/11/23,100000
097年立法委員選舉,林進興,興旺計程車客運服務業有限公司,096/11/15,10000
097年立法委員選舉,林進興,匠個室內裝修有限公司,096/11/21,10000
097年立法委員選舉,林進興,奕銓有限公司,096/11/27,10000
097年立法委員選舉,林進興,博瓊貿易有限公司,096/11/21,10000
097年立法委員選舉,林進興,峰加文化印刷事業有限公司,096/11/21,10000
097年立法委員選舉,林進興,冠羿展覽會場佈置有限公司,096/11/15,10000
097年立法委員選舉,林進興,鍇億國際開發股份有限公司,096/11/01,100000
097年立法委員選舉,林進興,金貿易有限公司,096/11/21,10000
097年立法委員選舉,林進興,雙隆貿易有限公司,096/11/21,10000
097年立法委員選舉,林進興,采利汽車電機行,096/11/21,10000
097年立法委員選舉,林進興,中大葯品股份有限公司,096/11/21,10000
097年立法委員選舉,林進興,伍長國際股份有限公司,096/11/15,100000
097年立法委員選舉,林進興,漢征有限公司,096/11/27,10000
097年立法委員選舉,林進興,和宏噴射器行,097/01/02,20000
097年立法委員選舉,林進興,馬玉山食品工業有限公司,096/11/27,50000
097年立法委員選舉,林進興,南傑實業股份有限公司,096/12/07,100000
097年立法委員選舉,林進興,富穩電業有限公司,096/11/15,10000
097年立法委員選舉,林進興,禹青企業股份有限公司,096/11/23,200000
097年立法委員選舉,林進興,喬鋒建設股份有限公司,096/12/12,100000
097年立法委員選舉,林進興,復興電子股份有限公司,096/11/07,20000
097年立法委員選舉,林進興,國喬貿易有限公司,096/11/21,10000
097年立法委員選舉,林進興,隆德通信機械有限公司,096/11/15,20000
097年立法委員選舉,林進興,建利蚊帳寢具行,096/11/15,10000
097年立法委員選舉,林進興,萬昌油桶行,096/11/15,20000
097年立法委員選舉,林進興,欣欣化學有限公司,096/11/21,20000
097年立法委員選舉,林進興,人榮實業有限公司,096/11/15,10000
097年立法委員選舉,林進興,巨山興業股份有限公司,097/01/02,30000
097年立法委員選舉,林進興,實承實業有限公司,096/11/21,10000
097年立法委員選舉,林進興,乃升企業有限公司,096/11/27,50000
097年立法委員選舉,林進興,亞欣通信器材有限公司,096/11/15,10000
097年立法委員選舉,林進興,冠業實業社,096/11/21,10000
097年立法委員選舉,林進興,國詮營造有限公司,096/11/15,10000
097年立法委員選舉,林進興,秀翔實業有限公司,096/11/21,10000
097年立法委員選舉,林進興,領禮企業有限公司,096/11/07,10000
097年立法委員選舉,林進興,宏達家具有限公司,097/01/02,20000
097年立法委員選舉,林進興,華勁投資股份有限公司,096/11/01,50000
097年立法委員選舉,林進興,新歷芳企業股份有限公司,096/11/21,100000
