選舉,捐贈對象,捐贈人,捐贈日期,捐贈金額
097年立法委員選舉,莊碩漢,元復醫院,096/12/24,100000
101年立法委員選舉,莊碩漢,互豐建設股份有限公司,100/12/06,50000
101年立法委員選舉,莊碩漢,亞中實業股份有限公司,100/12/23,100000
101年立法委員選舉,莊碩漢,景德勝股份有限公司,100/11/11,1000000
097年立法委員選舉,莊碩漢,生才實業股份有限公司,096/12/26,50000
097年立法委員選舉,莊碩漢,德慶工程有限公司,096/10/26,100000
097年立法委員選舉,莊碩漢,佑昇投資股份有限公司,096/12/13,200000
097年立法委員選舉,莊碩漢,假日理髮廳,096/12/31,30000
097年立法委員選舉,莊碩漢,信譽木業有限公司,096/12/12,30000
101年立法委員選舉,莊碩漢,一榮投資股份有限公司,100/08/30,300000
097年立法委員選舉,莊碩漢,錦辰精密工業股份有限公司,096/12/01,10000
097年立法委員選舉,莊碩漢,大昌證券股份有限公司,096/11/02,1000000
097年立法委員選舉,莊碩漢,立民營造股份有限公司,096/11/08,200000
101年立法委員選舉,莊碩漢,東聖彩色製版印刷有限公司,100/11/07,10800
097年立法委員選舉,莊碩漢,北昌營造有限公司,096/12/13,300000
101年立法委員選舉,莊碩漢,立嚴生命事業有限公司,100/12/13,10000
097年立法委員選舉,莊碩漢,益通家具有限公司,096/12/31,30000
101年立法委員選舉,莊碩漢,新北市三峽區農會,100/11/16,100000
101年立法委員選舉,莊碩漢,新北市三峽區農會,100/12/13,50000
097年立法委員選舉,莊碩漢,林旺根地政士事務所,096/12/13,20000
097年立法委員選舉,莊碩漢,新海瓦斯股份有限公司,096/12/31,100000
097年立法委員選舉,莊碩漢,中榮電瓷工業股份有限公司,096/12/04,10000
097年立法委員選舉,莊碩漢,三雋建設股份有限公司,096/12/14,100000
097年立法委員選舉,莊碩漢,大專營造股份有限公司,096/12/31,30000
097年立法委員選舉,莊碩漢,油庫口蚵仔麵線,096/12/31,20000
097年立法委員選舉,莊碩漢,裕貞紡織工業有限公司,097/01/04,100000
097年立法委員選舉,莊碩漢,大昌保險經紀人股份有限公司,096/11/02,1000000
097年立法委員選舉,莊碩漢,永亮投資有限公司,096/11/13,100000
097年立法委員選舉,莊碩漢,榮冠工程有限公司,096/12/04,100000
101年立法委員選舉,莊碩漢,瑞通營造有限公司,100/11/22,10000
097年立法委員選舉,莊碩漢,元茂營造股份有限公司,096/12/14,100000
097年立法委員選舉,莊碩漢,優聯科技股份有限公司,097/01/04,200000
101年立法委員選舉,莊碩漢,必捷企業股份有限公司,100/11/04,1000000
097年立法委員選舉,莊碩漢,皇翔建設有限公司,096/12/13,300000
101年立法委員選舉,莊碩漢,瑞泰營造有限公司,100/11/22,10000
101年立法委員選舉,莊碩漢,貴族世家企業股份有限公司,100/10/10,50000
097年立法委員選舉,莊碩漢,恆鈺電子有限公司,096/12/05,10000
097年立法委員選舉,莊碩漢,徐順發建材有限公司,096/12/27,10000
097年立法委員選舉,莊碩漢,皇翔投資股份有限公司,096/12/13,200000
097年立法委員選舉,莊碩漢,冠德廢棄物有限公司,096/06/12,50000
