選舉,捐贈對象,捐贈人,捐贈日期,捐贈金額
097年立法委員選舉,郭玟成,中國石油化學工業開發股份有限公司,097/01/09,300000
101年立法委員選舉,郭玟成,裕民貿易股份有限公司,100/11/18,500000
097年立法委員選舉,郭玟成,潤記營造有限公司,096/12/25,100000
101年立法委員選舉,郭玟成,友發化工股份有限公司,100/12/28,200000
097年立法委員選舉,郭玟成,京城建設股份有限公司,097/01/09,300000
097年立法委員選舉,郭玟成,民視傳播企業行,096/12/08,20000
097年立法委員選舉,郭玟成,民視傳播企業行,096/11/12,40000
097年立法委員選舉,郭玟成,民視傳播企業行,096/11/24,20000
097年立法委員選舉,郭玟成,華一文理補習班,096/11/24,20000
101年立法委員選舉,郭玟成,興富發建設股份有限公司,100/12/28,200000
097年立法委員選舉,郭玟成,湟泰建設股份有限公司,096/12/10,100000
097年立法委員選舉,郭玟成,正宇鍛造工業有限公司,096/12/26,50000
101年立法委員選舉,郭玟成,正宇鍛造工業有限公司,101/01/09,50000
097年立法委員選舉,郭玟成,嘉興冷凍造機(股)公司,096/11/14,20000
101年立法委員選舉,郭玟成,崑郡建設股份有限公司,100/12/10,50000
101年立法委員選舉,郭玟成,聯上實業股份有限公司,101/01/08,300000
097年立法委員選舉,郭玟成,佐茂股份有限公司,097/01/09,50000
097年立法委員選舉,郭玟成,右達汽車股份有限公司,097/01/03,50000
097年立法委員選舉,郭玟成,皇發漁業股份有限公司,096/12/07,12500
097年立法委員選舉,郭玟成,皇發漁業股份有限公司,096/12/07,60000
097年立法委員選舉,郭玟成,高家食品行,097/01/07,12500
097年立法委員選舉,郭玟成,漢王食品行,097/01/11,30000
097年立法委員選舉,郭玟成,漢王食品行,097/01/09,15000
097年立法委員選舉,郭玟成,維也納文理補習班,096/11/29,20000
097年立法委員選舉,郭玟成,日友水產股份有限公司,096/12/26,200000
097年立法委員選舉,郭玟成,仕鴻企業股份有限公司,096/12/30,20000
101年立法委員選舉,郭玟成,恆溢工程有限公司,100/11/27,30000
097年立法委員選舉,郭玟成,金尊營造工程有限公司,096/11/28,150000
097年立法委員選舉,郭玟成,基銀企業有限公司,096/11/14,56000
097年立法委員選舉,郭玟成,祥允漁業股份有限公司,096/12/30,10000
097年立法委員選舉,郭玟成,合滿冷凍股份有限公司,096/11/28,50000
097年立法委員選舉,郭玟成,毅城企業有限公司,096/11/13,10000
097年立法委員選舉,郭玟成,友友建設股份有限公司,096/12/14,200000
097年立法委員選舉,郭玟成,鳳東路加油站有限公司,096/12/21,10000
101年立法委員選舉,郭玟成,寶碩財務科技股份有限公司,100/12/28,100000
097年立法委員選舉,郭玟成,大眾綜合證券股份有限公司,096/12/28,1000000
097年立法委員選舉,郭玟成,漢神名店百貨股份有限公司,096/12/29,100000
097年立法委員選舉,郭玟成,台灣妙管家股份有限公司,096/12/14,200000
097年立法委員選舉,郭玟成,大仁興業有限公司,096/11/02,16000
097年立法委員選舉,郭玟成,福田開發有限公司,096/12/30,10000
097年立法委員選舉,郭玟成,方師傅食品有限公司,097/01/10,15000
097年立法委員選舉,郭玟成,方師傅食品有限公司,097/01/08,15000
101年立法委員選舉,郭玟成,神功投資有限公司,100/12/10,30000
097年立法委員選舉,郭玟成,港都金銀島有限公司,096/12/01,46500
097年立法委員選舉,郭玟成,港都金銀島有限公司,096/11/06,20000
097年立法委員選舉,郭玟成,大棟營造股份有限公司,096/12/24,20000
097年立法委員選舉,郭玟成,協羽機材工業股份有限公司,096/11/28,20000
097年立法委員選舉,郭玟成,高健診所,096/12/27,20000
097年立法委員選舉,郭玟成,乾佑工業股份有限公司,097/01/05,50000
097年立法委員選舉,郭玟成,永記造漆工業股份有限公司,096/12/31,500000
101年立法委員選舉,郭玟成,永記造漆工業股份有限公司,100/12/08,100000
101年立法委員選舉,郭玟成,柏林股份有限公司,100/12/23,100000
097年立法委員選舉,郭玟成,成偉交通股份有限公司,096/12/04,20000
097年立法委員選舉,郭玟成,光洲投資股份有限公司,096/12/26,300000
097年立法委員選舉,郭玟成,田祝鋼鐵股份有限公司,096/11/24,50000
097年立法委員選舉,郭玟成,協勝發鋼鐵廠股份有限公司,096/12/07,500000
097年立法委員選舉,郭玟成,豐國水產股份有限公司,096/11/29,100000
097年立法委員選舉,郭玟成,鈞晏企業有限公司,096/12/28,100000
097年立法委員選舉,郭玟成,億程股份有限公司,097/01/07,20000
101年立法委員選舉,郭玟成,漢來美食股份有限公司,101/01/02,300000
097年立法委員選舉,郭玟成,漢欣國際股份有限公司高雄分公司,096/12/29,100000
101年立法委員選舉,郭玟成,益富基國際股份有限公司,100/12/27,100000
097年立法委員選舉,郭玟成,百興行實業有限公司,096/11/13,100000
097年立法委員選舉,郭玟成,泰麥企業有限公司,096/11/13,100000
