選舉,捐贈對象,捐贈人,捐贈日期,捐贈金額
097年立法委員選舉,黃健庭,建輝投資事業股份有限公司,096/10/31,500000
097年立法委員選舉,黃健庭,耀華電子股份有限公司,097/01/07,200000
097年立法委員選舉,黃健庭,耀華電子股份有限公司,096/12/10,300000
097年立法委員選舉,黃健庭,亞翔工程股份有限公司,096/11/08,500000
097年立法委員選舉,黃健庭,富喬工業股份有限公司,097/01/07,100000
097年立法委員選舉,黃健庭,權實業股份有限公司,096/11/08,300000
097年立法委員選舉,黃健庭,漢唐集成股份有限公司,096/11/08,300000
097年立法委員選舉,黃健庭,礜興企業股份有限公司,097/01/11,50000
097年立法委員選舉,黃健庭,天廚國際股份有限公司,096/11/30,200000
097年立法委員選舉,黃健庭,味丹生物科技股份有限公司,097/01/11,200000
097年立法委員選舉,黃健庭,升業營造股份有限公司,097/01/07,100000
097年立法委員選舉,黃健庭,諭豐有限公司,096/11/27,50000
097年立法委員選舉,黃健庭,鴻興發科技有限公司,096/12/28,150000
097年立法委員選舉,黃健庭,華新麗華股份有限公司,096/12/24,500000
097年立法委員選舉,黃健庭,建國工程股份有限公司,096/10/31,500000
097年立法委員選舉,黃健庭,南光化學製藥股份有限公司,096/12/18,50000
097年立法委員選舉,黃健庭,科技島投資股份有限公司,096/12/31,300000
097年立法委員選舉,黃健庭,中豪國際有限公司,096/12/18,200000
097年立法委員選舉,黃健庭,永富開發股份有限公司,097/01/02,300000
097年立法委員選舉,黃健庭,儀測科技國際股份有限公司,096/12/03,200000
097年立法委員選舉,黃健庭,羿盛企業股份有限公司,096/11/27,230000
097年立法委員選舉,黃健庭,靖永國際股份有限公司,097/01/07,100000
097年立法委員選舉,黃健庭,歐強國際股份有限公司,097/01/02,100000
097年立法委員選舉,黃健庭,金葉銀樓,096/12/31,100000
097年立法委員選舉,黃健庭,建立富股份有限公司,096/11/27,220000
